,City,Country,Lattitude,Longitude,Hotel Name
2,Pedra Branca,BR,-5.4542,-39.7172,Pousada Pedra Branca
22,Castro,BR,-24.7911,-50.0119,Central Palace Hotel - Castro (PR)
28,Jamestown,US,42.097,-79.2353,Chautauqua Harbor Hotel
32,Big Spring,US,32.2504,-101.4787,Hotel Settles
35,Saint George,US,37.1041,-113.5841,Quality Inn
48,Westport,US,41.1415,-73.3579,Residence Inn by Marriott Norwalk
51,Sangar,RU,63.9242,127.4739,
53,Roald,NO,62.5833,6.1333,Smartrom
56,Albany,US,42.6001,-73.9662,
57,Asău,RO,46.4333,26.4,Pensiunea Sophia
61,Ponta do Sol,PT,32.6667,-17.1,Palace of Zinos
69,Bethel,US,41.3712,-73.414,Hampton Inn Danbury
82,Peniche,PT,39.3558,-9.3811,Selina Peniche
90,San Jose,US,37.3394,-121.895,Hotel Valencia Santana Row
91,Saint Anthony,US,45.0205,-93.218,Hewing Hotel
96,Terenos,BR,-20.4422,-54.8603,Hotel Renascer
98,Richards Bay,ZA,-28.783,32.0377,BON Hotel Waterfront Richards Bay
99,Shar,KZ,49.5886,81.0453,
116,Zalţan,LY,32.947,11.8665,
151,Rio Bananal,BR,-19.265,-40.3333,Hotel Carolina
153,Saint-Philippe,RE,-21.3585,55.7679,Les Embruns Du Baril
158,Arraial do Cabo,BR,-22.9661,-42.0278,Orlanova Boutique Hotel
169,Seoul,KR,37.5683,126.9778,Grand Hyatt Seoul
190,Cabo San Lucas,MX,22.8909,-109.9124,"The Cape, A Thompson Hotel"
193,Kiryat Gat,IL,31.61,34.7642,Desert Gat
201,Izberbash,RU,42.5696,47.8645,Kaspiy
214,Gōtsuchō,JP,35.0,132.2167,Super Hotel Gotsu Ekimae
220,Saint-Joseph,RE,-21.3667,55.6167,La Case O zoizos
224,Grafton,US,42.207,-71.6856,The Grafton Inn
231,Osvaldo Cruz,BR,-21.7967,-50.8786,Hotel Eldorado
238,Mossamedes,AO,-15.1961,12.1522,Hotel Chik Chik Namibe
245,Grand Gaube,MU,-20.0064,57.6608,LUX Grand Gaube Resort & Villas
254,Çorlu,TR,41.1592,27.8,Hilton Garden Inn Corlu
260,Elizabeth City,US,36.2946,-76.2511,Fairfield Inn & Suites by Marriott Elizabeth City
261,La Rioja,ES,42.25,-2.5,
277,Novomykolayivka,UA,47.9781,35.9102,
281,Alekseyevka,RU,50.6309,38.6903,"Hotel ""Home-Lux"""
297,São João da Barra,BR,-21.6403,-41.0511,Pousada Kactus
301,Rembang,ID,-6.707,111.3498,Pollos Hotel & Gallery
302,Chicama,PE,-7.8447,-79.1469,Balihai Bungalows
313,Pontal do Paraná,BR,-25.6533,-48.5128,Hotel Pousada Mineirinho
316,Porterville,US,36.0652,-119.0168,"Holiday Inn Express & Suites Porterville, an IHG Hotel"
332,Powell River,CA,49.8496,-124.5361,Powell River Town Centre Hotel
340,Goderich,CA,43.7501,-81.7165,Samuels Hotel
354,Orange Cove,US,36.6244,-119.3137,
365,Ukiah,US,39.1502,-123.2078,Comfort Inn & Suites Ukiah Mendicino County
366,Halmstad,SE,56.6745,12.8568,Hotel Continental Relax & Spa
368,Worland,US,44.0169,-107.9554,Days Inn by Wyndham Worland
385,Nuevo Progreso,MX,23.1667,-97.95,
388,Martapura,ID,-3.4167,114.85,Grand Dafam Q Hotel Banjarbaru || DHM Syariah
395,Aranda de Duero,ES,41.6704,-3.6892,Hotel Torremilanos
399,Kensington,AU,-33.9167,151.2167,Sydney Boutique Hotel
405,Marrakesh,MA,31.6315,-8.0083,Hotel Zaitoune
423,Langarūd,IR,37.197,50.1535,Hotel RAK
425,Mandan,US,46.8267,-100.8896,Comfort Inn & Suites Mandan - Bismarck
438,Alpena,US,45.0617,-83.4327,Big Bear Lodge
443,Peno,RU,56.9262,32.7426,Baza otdykha Orlinka
451,Chapada dos Guimarães,BR,-15.4606,-55.7497,Pousada Penhasco
461,Nortelândia,BR,-14.4547,-56.8028,Hotel Karysmã
475,Salina,US,38.8403,-97.6114,Homewood Suites by Hilton Salina Downtown
477,Brownsville,US,25.9018,-97.4975,OYO Historic Cameron Hotel Brownsville I-69E
478,North Augusta,US,33.5018,-81.9651,"The Partridge Inn Augusta, Curio Collection by Hilton"
486,Half Moon Bay,US,37.4636,-122.4286,Cypress Inn On Miramar Beach
507,Banjar,ID,-8.19,114.9675,Villa Pantai
515,Vilhena,BR,-12.7406,-60.1458,Portinari Palace Hotel
520,Sabinov,SK,49.1031,21.0988,Hotel Torysa
528,Lavumisa,SZ,-27.31,31.892,Royal Jozini Big 6 Private Estate
530,Cortez,US,37.3489,-108.5859,Cozy Inn
533,Price,US,39.5994,-110.8107,"Holiday Inn Express & Suites Price, an IHG Hotel"
535,Naantali,FI,60.4674,22.0243,Naantali Spa Hotel & Resort
539,Mumbwa,ZM,-14.9783,27.0619,Fourways Challets Inn
546,Aykhal,RU,66.0,111.5,
