City,Country,Wind Speed,Cloudiness,Max Temperature,Humidity,Lattitude,Longitude,Date
Jamestown,US,6.91,1,73.04,73,42.097,-79.2353,1627264019
Barrow,US,18.41,90,39.22,95,71.2906,-156.7887,1627264090
Puerto Ayora,EC,7,3,71.55,88,-0.7393,-90.3518,1627264101
Alyangula,AU,10.36,66,82.27,44,-13.8483,136.4192,1627264435
Tonota,BW,7.65,0,41.7,83,-21.4833,27.4833,1627264631
Castro,BR,3.51,5,54.99,61,-24.7911,-50.0119,1627264140
New Norfolk,AU,3.24,100,53.1,84,-42.7826,147.0587,1627264092
Boysun,UZ,3.71,0,85.55,19,38.2061,67.1986,1627264631
Ushuaia,AR,4.61,40,33.46,86,-54.8,-68.3,1627264073
Bluff,NZ,1.52,100,48.79,84,-46.6,168.3333,1627264078
Wanning,CN,3.27,87,85.17,76,18.8003,110.3967,1627264632
Nísia Floresta,BR,6.29,15,75.58,94,-6.0911,-35.2086,1627264632
Bathsheba,BB,13.8,75,79.41,89,13.2167,-59.5167,1627264632
Nola,IT,0.29,88,81.93,66,40.922,14.5329,1627264633
Severo-Kuril'sk,RU,3.49,74,59.34,88,50.6789,156.125,1627264169
Mar del Plata,AR,5.99,40,48.22,58,-38.0023,-57.5575,1627263900
Tiksi,RU,8.88,83,56.1,79,71.6872,128.8694,1627264074
Hermanus,ZA,9.51,100,51.8,51,-34.4187,19.2345,1627264079
Faanui,PF,8.75,48,78.06,67,-16.4833,-151.75,1627264176
Vardø,NO,21.41,65,45.9,76,70.3705,31.1107,1627264158
Rikitea,PF,6.02,22,71.51,73,-23.1203,-134.9692,1627264069
Port Alfred,ZA,11.9,43,59.74,31,-33.5906,26.891,1627264117
Narsaq,GL,1.34,100,46.62,62,60.9167,-46.05,1627264096
Cabo San Lucas,MX,7,1,92.52,66,22.8909,-109.9124,1627264634
Bredasdorp,ZA,5.75,100,51.28,66,-34.5322,20.0403,1627264098
Buala,SB,8.46,23,83.97,74,-8.145,159.5921,1627264414
Channel-Port aux Basques,CA,6.44,12,55.8,88,47.5702,-59.1367,1627264278
Bengkulu,ID,2.51,0,81.16,63,-3.8004,102.2655,1627264204
Saint-Philippe,RE,11.5,58,65.75,70,-21.3585,55.7679,1627264106
Spearfish,US,1.99,1,89.82,38,44.4908,-103.8594,1627264448
Kapaa,US,4,40,87.78,78,22.0752,-159.319,1627264065
Saint George,US,5.99,20,87.33,56,37.1041,-113.5841,1627264124
